quarter,GDPR,GDPN,DPIR,DPIN,UR,CPI,T3M,T5Y,T10Y,BBB,MTG,PRIM,DJ,HPI,CRE_PI,VIX
Q1 1976,5889.5,1820.487,4385.876,1293.61,7.7,55.9,4.9,7.4,7.6,9.4,8.9,6.8,,23.5,50.9,
Q2 1976,5932.711,1852.332,4410.786,1311.899,7.6,56.4,5.2,7.4,7.6,9.4,8.8,6.9,,23.6,51.8,
Q3 1976,5965.265,1886.558,4445.2,1342.259,7.7,57.3,5.2,7.3,7.6,9.1,9,7.1,,24.6,52.6,
Q4 1976,6008.504,1934.273,4473.403,1372.14,7.8,58.13333333,4.7,6.5,7.1,8.8,8.8,6.5,,25.5,53.4,
Q1 1977,6079.494,1988.648,4483.456,1400.016,7.5,59.2,4.6,6.8,7.2,8.8,8.7,6.3,,26.6,55,
Q2 1977,6197.686,2055.909,4525.596,1437.33,7.1,60.23333333,4.8,6.8,7.3,8.7,8.8,6.5,,27.7,56,
Q3 1977,6309.514,2118.473,4588.483,1479.197,6.9,61.06666667,5.5,7,7.3,8.6,8.9,6.9,,28.7,57.3,
Q4 1977,6309.652,2164.27,4676.19,1528.88,6.7,61.96666667,6.1,7.4,7.6,8.9,8.9,7.7,,29.7,58.5,
Q1 1978,6329.791,2202.76,4712.855,1566.088,6.3,63.03333333,6.4,7.8,8,9,9.1,8,,30.8,59.7,
Q2 1978,6574.39,2331.633,4762.737,1615.146,6,64.46666667,6.5,8.2,8.2,9.5,9.6,8.3,,31.9,61.4,
Q3 1978,6640.497,2395.053,4799.78,1656.31,6,65.96666667,7.3,8.4,8.4,9.3,9.8,9.1,,33.1,62.9,
Q4 1978,6729.755,2476.949,4831.355,1698.742,5.9,67.5,8.6,8.9,8.7,10.1,10.1,10.8,,34.2,64.6,
Q1 1979,6741.854,2526.61,4889.815,1751.759,5.9,69.2,9.4,9.2,9,10.3,10.4,11.8,,35.6,66.5,
Q2 1979,6749.063,2591.247,4845.606,1783.413,5.7,71.4,9.4,9.1,9,10.3,10.8,11.7,,37.2,68.5,
Q3 1979,6799.2,2667.565,4867.617,1836.023,5.9,73.7,9.7,9.1,9,10.3,11.2,12.1,,38.6,70.6,
Q4 1979,6816.203,2723.883,4876.192,1883.828,6,76.03333333,11.8,10.6,10.4,12.6,12.5,15.1,,39.9,72.1,
Q1 1980,6837.641,2789.842,4893.069,1947.118,6.3,79.03333333,13.3,12,11.8,14.8,13.7,16.4,,40.8,73.4,
Q2 1980,6696.753,2797.352,4850.055,1977.275,7.3,81.7,9.6,10.1,10.4,12.6,14.4,16.3,,41.5,74.9,
Q3 1980,6688.794,2856.483,4904.532,2046.297,7.7,83.23333333,9.1,10.6,10.8,13.3,12.6,11.6,,42.6,76.4,
Q4 1980,6813.535,2985.557,4972.057,2125.848,7.4,85.56666667,13.6,12.5,12.3,14.3,14.2,16.7,,43.5,78.8,
Q1 1981,6947.042,3124.206,4965.1,2177.992,7.4,87.93333333,14.4,12.9,12.8,14.8,15.1,19.2,,44.3,82.3,
Q2 1981,6895.559,3162.532,4970.894,2217.133,7.4,89.76666667,14.9,13.8,13.6,16.1,16.2,18.9,,44.9,85.1,
Q3 1981,6978.135,3260.609,5078.088,2302.221,7.4,92.26666667,15.1,15,14.6,17.6,17.4,20.3,,45.3,87.6,
Q4 1981,6902.105,3280.818,5083.669,2339.999,8.2,93.76666667,11.8,13.9,13.9,16.8,17.8,17,,45.8,90.6,
Q1 1982,6794.878,3274.302,5095.938,2375.323,8.8,94.6,12.8,14.2,14.1,16.7,17.4,16.3,,46,92.6,
Q2 1982,6825.876,3331.972,5126.682,2412.547,9.4,95.96666667,12.4,13.9,13.7,16.6,16.8,16.5,,46.1,93.5,
Q3 1982,6799.781,3366.322,5151.281,2462.319,9.9,97.63333333,9.3,12.9,12.9,15.6,16.2,14.7,,46.1,93.8,
Q4 1982,6802.497,3402.561,5167.46,2497.228,10.7,97.93333333,7.9,10.7,10.9,13.6,14,12,,46.4,93.3,
Q1 1983,6892.144,3473.413,5216.222,2541.526,10.4,98,8.1,10.4,10.7,12.9,13,10.9,,46.9,91.7,
Q2 1983,7048.982,3578.848,5252.373,2582.521,10.1,99.13333333,8.4,10.4,10.7,12.3,12.8,10.5,,47.5,90.7,
Q3 1983,7189.896,3689.179,5331.188,2655.754,9.4,100.1,9.1,11.5,11.7,13.2,13.6,10.8,,48.1,90.5,
Q4 1983,7339.893,3794.706,5449.929,2732.912,8.5,101.1,8.8,11.4,11.7,13.2,13.5,11,,48.7,90.4,
Q1 1984,7483.371,3908.054,5558.792,2817.775,7.9,102.5333333,9.2,11.7,11.9,13.3,13.3,11.1,,49.4,90.5,
Q2 1984,7612.668,4009.601,5651.123,2892.421,7.4,103.5,9.8,13,13.2,14.9,14,12.3,,50,91.4,
Q3 1984,7686.059,4084.25,5725.728,2953.265,7.4,104.4,10.3,12.8,12.9,14.3,14.5,13,,50.6,92,
Q4 1984,7749.151,4148.551,5772.469,2995.748,7.3,105.3,8.8,11.5,11.8,13.1,13.6,11.8,,51,92.5,
Q1 1985,7824.247,4230.168,5757.403,3023.121,7.2,106.2666667,8.2,11.3,11.6,13,13.1,10.5,,51.7,93.2,
Q2 1985,7893.136,4294.887,5869.535,3106.975,7.3,107.2333333,7.5,10.5,10.9,12.3,12.8,10.2,,52.6,93.4,
Q3 1985,8013.674,4386.773,5851.143,3121.548,7.2,107.9,7.1,10,10.5,11.8,12.1,9.5,,53.3,93.9,
Q4 1985,8073.239,4444.094,5913.044,3176.623,7,109,7.2,9.4,10,11.2,11.7,9.5,,54.3,92.3,
Q1 1986,8148.603,4507.894,5990.8,3241.309,7,109.5666667,6.9,8.4,8.8,10.4,10.6,9.4,,55.3,94.1,
