quarter,loan,total_assets,non_int_income,gain_on_sale,net_servicing_fee,non_int_exp,salaries,fees,co_const,co_HE,co_SF,co_multifam,co_CRE,co_CnI,co_consm,const_loans,HE_loans,SF_loans,multifam_loans,CRE_loans,CnI_loans,consm_loans,deposits,SF_orig_total,servicing,net_int_inc,int_inc_CnI,int_inc_RE,int_inc_CONSM,int_exp_DEP,goodwill,MSR
2001Q1,54688268.5,81317626.92,171072.8125,27203,8792,499659.1875,289128,59374,1145,152,1899,0,1465,14943,8631,6122253.75,1304000,16743077.75,2988858,14329983.5,7929835.25,3337205,63874930.5,0,6405013,783755,206142,908066,90432,610092,193342,76391
2001Q2,56296667.42,83158605.33,180093.5,26492,9487,518493.875,299450,62890,786,223,1056,0,2405,13344,10322,6532265.5,1373635,16566724,3025808,14883424,8148918,3341025.333,65028674,0,7945592,817527,171189,943269,90683,579725,208740,85175
2001Q3,57689391.58,85283679.17,202686.375,47291,8292,536169.875,305554,66109,1508,191,2195,7,639,26646,9785,6576930.75,1462999,16528450.5,3210237,16196167,8096034.5,3326917.917,67546283,0,11154304,863147.5,174574,943932.5,86879.5,538862.5,201232,90041
2001Q4,61072518.5,87377578,228981.25,57116,8263,586751.5,332029,70150,2298,314,2724,667,5215,26897,12860,7108624,1548947,16713786,3357178,16814103,8295310,3548256,69112968,0,11769130,920225,159979,936716,90004,465948,235487,99180
2002Q1,60447115.75,89651002.67,220558.75,56141,12132,581881.25,343956,68080,433,103,939,135,10821,16318,12271,7015330.25,1600102,16370462,3395328,17437770,8500673,3366046.583,70688206,0,13744120,946404,156674,909843,84063,392935,269458,109659
2002Q2,62094662.5,92612309.83,270609,66837,8046,691617.5,389636,71850,1584,337,2362,0,10815,24981,12497,7251728.5,1777501,16407751,3525116,18198461,8761966,3408684.167,72974065,0,14572052,1010693.25,160573,948372.9167,86552.16667,381902.0833,254001,110902
2002Q3,64187920.25,97258212,312138.5,106784,2367,709840.5,404153,77226,3591,272,1104,93,7058,24360,13136,7451399.75,1960244,16854157,3757141,19096065,9067932,3629405.75,76254774,0,15103686,1048191.75,165783,970368.4167,84363.08333,373324.5,291591,101867
2002Q4,68494641,100474715,333856,131524,973,737229,380485,77781,2507,280,4381,0,16537,25284,12198,8042937,2074261,17044657,3956520,19761624,9331260,3573401,77874868,0,16177924,1055421,158127,966251,83958,344698,550780,103399
2003Q1,69432549,103455607,347973,113026,5260,745600,396988,77112,399,105,1532,0,10663,13270,11490,8364924,2109421,16851129,3984522,20312760,9559072,3539532,80245691,0,16827175,1047830,156159,948383,76390,314341,549799,101133
2003Q2,72161484,107537722,357141,142402,3179,766371,401394,82140,2715,211,1800,125,17504,15501,10219,8729076,2252765,17656809,4186950,20858640,9915513,3578254,82727975,0,17136424,1075318,163393,958369,76372,298789,597614,93924
2003Q3,74289743,111242362,391021,143970,16843,791512,417260,82769,1655,281,1722,0,19233,13603,11014,9261926,2384048,17959682,4410060,21479695,10066086,3573672,85979408,0,19243554,1097827,162582,967283,76626,279195,654078,113902
2003Q4,77237196,114813885,353676,110223,12385,825416,447825,85269,2532,505,3835,223,17483,19055,12811,9800487,2562879,18540947,4657367,22513906,10322825,3618892,87562232,0,20861987,1153173,163438,988953,74382.5,272172.5,728334,123036
2004Q1,80208258,118878649,368701,120500,9610,833694,459832,85542,978,164,954,38,10167,10242,10584,10127895,2647358,19361495,4916929,23630562,10933637,3404111,90835006,0,22048420,1183960,167329,1007350,64054,267983,835833,123421
2004Q2,83846757,122838996,406402,141369,22787,848955,466949,89468,784,452,1432,2,5493,16460,9476,11057430,2915513,20012887,5106672,24452976,11331290,3408662,92988390,0,23293207,1235038,174926,1044963,62680,267681,888405,135897
2004Q3,86079370,126366638,353762,121498,13092,852856,456019,89512,676,68,11482,100,6735,11590,7953,12010293,3145682,19474183,5399974,24929152,11852896,3447850,96379593,0,25916864,1276817.5,188820.5,1074784,62196.5,286552,1370797,135177
2004Q4,89973654,129872013,374991,120920,16752,918678,485959,82844,1132,703,1316,0,7694,17867,10366,12935558,3183371,20662492,5762257,25596177,12325651,3472278,97703131,0,25479945,1335475,201557,1144650,64169,315136,1446108,137209
2005Q1,93711531,133464855,375081,106919,22143,911277,504364,81495,803,133,1560,17,7297,7709,7430,14253852,3322946,21571587,6025220,26540177,12653847,3428887,100648506,0,28026795,1357199,238183,1194428,59544,349205,1602122,141628
2005Q2,96636070,137052698,385029,139183,18266,935973,503928,86669,448,50,565,732,9135,11837,7389,15605269,3542404,21362398,6044074,27349966,13099558,3509383,103434709,0,30532303,1409929,262053,1307831,60466,414463,1611405,138060
2005Q3,100312113,141023215,415098,131851,27386,960936,518100,91803,62,109,932,111,1608,11825,7366,17350340,3609487,21989260,6565353,28896712,12471565,3576214,107568513,0,33549382,1462589,265145.5,1391789.5,63608,482987.5,1842077,155423
2005Q4,104773321,145647313,318481,56321,27190,997896,539945,96324,322,90,1161,3569,6376,20665,9676,19957455,3655045,21972436,7245108,29307469,13012204,3623837,109992353,0,34141891,1528948,272520,1516380,68348,554155,1935797,180888
2006Q1,110022727,150399426,261268,4816,25154,1007026,557313,93464,141,60,559,0,517,8371,6823,22646959,3572422,23595923,7302825,30025768,13342816,3612962,112945481,0,33917507,1551381,272626,1629665,68103,620572,2023271,180714
2006Q2,113493915,153834198,303034,26147,27969,1011175,555423,97417,1285,158,811,0,399,10707,6195,24247906,3579330,23672885,7228319,30808055,14024468,3719547,114261009,0,36104936,1583636,302097,1778819,71236,711944,2488323,201769
2006Q3,117288338,157906595,287080,21183,22165,1034382,566451,101512,252,370,517,0,704,12260,7929,26863459,3661832,23652177,7202285,31474053,14274695,3723825,117037199,9306077,36904663,1626890,317111,1907590,75083,821915,2488671,223799
2006Q4,118383111,159736654,288241.5,29678.5,22731,1083538,593772,100543,454,493,1620,0,31817,27035,8673,28309605,3571510,23203406,6972092,31414669,14568110,3745201,119155681,8257005,39515743,1668501,353126,1973858,77682,897171,2697930,238633
2007Q1,119404117,162723699,287624,34515,9895,1017723,565890,100559,656,829,1516,0,61471,10246,7609,29404708,3619455,23074333,6832686,31389962,14906021,3781653,122960948,5347314,39277089,1513886,332373,1793494,77091,918868,2960626,229865
2007Q2,118774438,162518516,293699,33268,14689,1049171,568761,109673,1569,679,555,0,1416,12263,7953,30407970,3707347,19622614,6969852,31702242,15752874,3890817,122989255.3,1706823,39795434,1541154,348148.25,1853640.5,80223,978707.5,3341584,203002
2007Q3,119160887,164041010,368204,43111,11964,1039065,552162,113955,22600,1249,1760,0,2168,15896,10811,29874946,3862971,20012472,6795297,31913066,15923481,4016442,123209761.7,1421386,34268225,1524400,358081.5,1838401,82840,1005661,3425620,189941
