quarter,loan,total_assets,non_int_income,gain_on_sale,net_servicing_fee,non_int_exp,salaries,fees,co_const,co_HE,co_SF,co_multifam,co_CRE,co_CnI,co_consm,const_loans,HE_loans,SF_loans,multifam_loans,CRE_loans,CnI_loans,consm_loans,deposits,SF_orig_total,servicing,net_int_inc,goodwill
2001Q1,4605636.477,7572689.271,43179.281,1107.179,2917.577,62222.703,26286.257,6337.55,38.595,86.784,260.248,4.593,115.311,2481.604,1207.317,202221.058,152556.6715,1343267.712,117384.9915,527048.6155,1083095.058,417643.033,4948420.259,,,60378.689,70010.294
2001Q2,4645117.66,7635923.679,42417.137,1351.103,3253.477,62739.916,26588.02,6944.185,48.16,54.187,404.102,-0.74,136.473,3207.965,1146.47,215753.469,157701.302,1366604.46,118831.2885,536119.3215,1073658.557,431737.419,5020362.697,,,62295.492,72795.623
2001Q3,4653972.622,7844175.799,41856.35,1296.595,2566.727,63778.224,26702.211,6902.308,80.972,98.135,1001.334,5.456,185.099,3438.759,1375.03,224462.133,167143.2145,1362223.651,119983.49,547675.4095,1055607.505,436689.083,5083209.253,,,63777.638,81925.292
2001Q4,4681920.858,7869066.503,44780.499,1809.636,1929.2,66003.566,27302.621,7404.964,127.54,152.046,409.06,12.926,275.333,6133.23,1822.135,229587.77,179007.5905,1367420.073,122668.3005,562174.99,1034599.318,446830.9085,5189427.506,,,67751.549,86829.889
2002Q1,4669188.568,7823497.267,44554.999,1957.979,3796.839,63890.388,28458.714,7223.421,75.917,86.434,364.03,4.77,210.399,3710.981,1635.709,231432.873,191791.194,1360042.673,124234.2335,576311.795,1011116.611,452053.1445,5172245.807,,,69028.001,93746.614
2002Q2,4737189.828,8039006.629,45548.861,1306.573,1984.3,64622.569,28301.06,7670.333,64.606,94.316,355.627,14.09,181.918,4369.354,1431.084,233992.775,211649.425,1353803.796,127565.0365,592309.737,989370.4895,457234.32,5254196.626,,,69032.123,95025.907
2002Q3,4868657.048,8272829.759,46149.397,2111.486,-242.176,65904.106,28730.793,7834.454,122.528,98.554,368.257,11.155,159.562,4886.584,1711.605,239396.69,231650.375,1403966.684,130616.0325,604373.027,968002.366,465990.1195,5391981.629,,,69874.692,96373.54
2002Q4,4967938.69,8435858.213,47074.824,3099.36,1910.025,70590.473,29973.809,7980.776,122.173,108.357,509.081,21.309,281.035,4373.29,1955.489,243835.3945,248722.6435,1477830.028,133747.34,618530.4935,956866.3495,476040.0085,5568501.102,,,70306.268,103813.504
2003Q1,5040072.353,8605714.87,48112.527,3251.944,2338.666,67174.738,30908.836,7790.636,62.59,111.872,370.424,5.483,146.663,3309.478,1746.164,247618.7125,265949.0615,1528266.748,136378.3545,634060.401,949877.9045,483518.754,5678658.446,,,69909.95,106481.893
2003Q2,5163829.664,8923262.177,49749.564,3972.95,1232.939,70182.993,31483.886,8150.581,87.428,123.201,396.421,8.523,220.026,3150.364,1680.718,253156.249,285328.944,1578013.907,140468.7545,645920.4705,938682.366,489774.212,5849893.617,,,70552.944,109990.463
2003Q3,5248566.229,8943134.245,51303.999,5535.907,4393.112,70115.752,31044.098,8414.672,90.55,97.375,349.225,5.561,239.279,2743.853,1793.506,260185.09,304952.466,1632949.343,145199.605,658586.749,932803.751,489390.1185,5856567.394,,,70463.31,113880.464
2003Q4,5349013.734,9075653.324,54309.546,1702.247,5422.882,73531.934,31615.738,8423.198,117.209,185.72,996.474,5.219,196.668,2511.463,1878.302,267191.693,330026.5,1630503.718,148647.322,672002.911,925319.14,505452.74,5960345.894,,,72599.028,119698.255
2004Q1,5464270.031,9377238.799,51958.405,2161.564,3180.05,73759.448,32752.144,8268.436,41.417,111.564,352.65,4.498,118.584,1591.712,1676.526,278576.307,361115.813,1641363.066,153826.789,689550.3635,914731.2695,512950.615,6133557.795,,,73767.782,123192.401
2004Q2,5699099.883,9648544.817,53620.506,2309.862,4927.483,76966.412,32877.334,8743.39,31.199,117.968,273.27,18.983,131.567,1347.9,1526.626,291733.9975,395631.2035,1703272.641,157683.647,705983.4255,916935.0925,520035.2005,6290155.835,,,75443.824,158751.162
2004Q3,5897623.594,9877215.472,51068.864,1955.1,3610.495,75650.572,32699.737,8859.437,38.273,98.752,263.639,14.513,130.907,1053.731,1594.622,308898.028,437377.005,1759749.225,162061.7735,725242.491,938496.454,526362.2075,6383693.19,,,77018.914,207057.543
2004Q4,6038664.246,10107378.71,55977.353,2293.162,4248.206,81126.903,34283.477,8598.09,55.523,107.622,355.919,17.177,185.29,1394.96,2085.863,328021.2125,474977.737,1807072.828,166275.0075,741575.1125,958628.318,530110.114,6584562.193,,,78465.683,230404.245
2005Q1,6120969.649,10286409.86,55385.393,1672.5,4988.853,77512.425,35346.407,8010.522,35.022,103.239,252.436,4.868,62.396,682.257,1493.679,348131.9505,498872.5785,1857104.313,170776.838,757570.804,983173.8005,536962.175,6708849.017,,,78211.678,236543.402
2005Q2,6326016.361,10474368.26,54404.635,1851.154,2863.88,79809.602,34380.6,8677.463,13.392,112.608,256.901,9.573,118.304,715.289,1366.99,374716.526,521187.593,1919437.491,176684.9415,774551.909,1021122.006,543139.4635,6821053.251,,,79146.765,238481.441
2005Q3,6497720.073,10700704.37,58704.073,1433.922,5038.144,80268.905,35918.512,9107.203,24.187,118.75,252.305,7.552,103.865,652.471,2657.729,403789.4375,535917.455,1984542.748,183037.853,794769.868,1045852.546,552702.236,6969052.3,,,80933.531,239522.091
2005Q4,6640834.676,10879266.65,56897.589,1878.474,4412.686,82133.803,36154.202,8835.508,27.078,131.347,298.021,16.515,120.033,1242.896,1876.959,433044.172,535867.664,2027716.063,186618.8425,814841.925,1067101.645,557909.003,7141309.559,,,80799.98,249725.916
2006Q1,6786383.332,11209759.51,61122.414,1507.322,4693.155,84608.079,39051.641,8627.016,30.131,164.486,287.18,6.099,46.831,597.73,1256.151,467279.8615,532015.9875,2070743.515,189721.08,832098.806,1104291.855,552920.812,7318752.292,,,83184.07,276301.428
